model_name,n_name,rho_name,task,n_main_trees,n_interaction_trees,n_total_trees,avg_main_depth,avg_interaction_depth,avg_total_depth,max_main_depth,max_interaction_depth,max_total_depth,avg_main_splits,avg_interaction_splits,avg_total_splits,max_main_splits,max_interaction_splits,max_total_splits,sum_main_splits,sum_interaction_splits,sum_total_splits
model1,n500k,rho05,classification,1203,12,1215,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,1203,12,1215
model1,n500k,rho05,regression,906,7,913,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,2718,21,2739
model1,n500k,rho0,classification,1688,56,1744,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,1688,56,1744
model1,n500k,rho0,regression,854,6,860,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,2562,18,2580
model1,n50k,rho05,classification,615,7,622,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,615,7,622
model1,n50k,rho05,regression,576,22,598,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1728,66,1794
model1,n50k,rho0,classification,923,8,931,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,923,8,931
model1,n50k,rho0,regression,746,16,762,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,2238,48,2286
model2,n500k,rho05,classification,612,544,1156,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,612,544,1156
model2,n500k,rho05,regression,1221,549,1770,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,3663,1647,5310
model2,n500k,rho0,classification,713,550,1263,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,713,550,1263
model2,n500k,rho0,regression,426,1008,1434,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1278,3024,4302
model2,n50k,rho05,classification,267,221,488,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,267,221,488
model2,n50k,rho05,regression,767,627,1394,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,2301,1881,4182
model2,n50k,rho0,classification,386,255,641,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,386,255,641
model2,n50k,rho0,regression,251,409,660,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,753,1227,1980
model3,n500k,rho05,classification,478,655,1133,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,478,655,1133
model3,n500k,rho05,regression,609,1013,1622,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1827,3039,4866
model3,n500k,rho0,classification,685,842,1527,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,685,842,1527
model3,n500k,rho0,regression,297,644,941,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,891,1932,2823
model3,n50k,rho05,classification,312,140,452,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,312,140,452
model3,n50k,rho05,regression,442,430,872,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1326,1290,2616
model3,n50k,rho0,classification,438,270,708,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,438,270,708
model3,n50k,rho0,regression,217,446,663,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,651,1338,1989
model4,n500k,rho05,classification,526,521,1047,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,526,521,1047
model4,n500k,rho05,regression,1161,1809,2970,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,3483,5427,8910
model4,n500k,rho0,classification,588,1020,1608,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,588,1020,1608
model4,n500k,rho0,regression,444,783,1227,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1332,2349,3681
model4,n50k,rho05,classification,286,291,577,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,286,291,577
model4,n50k,rho05,regression,811,853,1664,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,2433,2559,4992
model4,n50k,rho0,classification,351,428,779,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1,351,428,779
model4,n50k,rho0,regression,460,426,886,2.0,2.0,2.0,2,2,2,3.0,3.0,3.0,3,3,3,1380,1278,2658
